ID ORGAO	SIGLA	Gratuidade	Titulo Etapa*: 	Descricao Etapa*: 	Custo Etapa: 	Canais de Prestacao: 	Documentos: 
56d6d7fb8c36c706ac000003	CASAL	True	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
56d6d7fb8c36c706ac000003	CASAL	True	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
56d6d7fb8c36c706ac000003	CASAL	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
56d6d7fb8c36c706ac000003	CASAL	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
56d6d7fb8c36c706ac000003	CASAL	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
56d6d7fb8c36c706ac000003	CASAL	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
56d6d7fb8c36c706ac000003	CASAL	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
56d6d7fb8c36c706ac000003	CASAL	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
56d6d7fb8c36c706ac000003	CASAL	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
56d6d7fb8c36c706ac000003	CASAL	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
56d6d7fb8c36c706ac000003	CASAL	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
